ts,title,summary,source,score,pais,timestamp,lat,lon,categoria
,"'We cannot be in peace', say Guthrie family as they renew appeal over missing mother","A seven-week nationwide search for 84-year-old Nancy Guthrie, the mother of TV anchor Savannah Guthrie has not identified any suspects.",http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,BTS make live return in front of huge crowd,"RM, Jin, Suga, J-Hope, Jimin, V and Jung Kook perform together for the first time since October 2022.",http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,"Elon Musk misled Twitter investors, jury finds",A San Francisco jury concludes Musk’s claims in 2022 were damaging to a group of Twitter investors.,http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,"As Islamophobia rises, Australia's Muslims celebrate Eid",Recent events abroad and at home have fuelled an ongoing surge of Islamophobia in Australia.,http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,Italy is voting on whether to change its constitution. What does this mean for Meloni?,The dry subject matter of this weekend's vote seems obscure but for many it is a vote on the PM.,http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,AI videos of sexualised black women removed from TikTok after BBC investigation,"Dozens of Instagram and TikTok accounts have used AI avatars to promote explicit content, the BBC finds.",http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,A secularism law some women say makes them feel like 'outsiders' heads to Canada's top court,"Canada's Supreme Court will hear a challenge to Quebec's Bill 21, which bars some public sector workers, including teachers, from wearing religious symbols.",http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,BBC in Cuba as island plunged into darkness,More than 10 million people are enduring power cuts after Cuba's national electrical grid collapsed again.,http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,Did Australia's under-16s social media ban work?,"Three months since it came into effect, teenagers tell the BBC how the world-first law has impacted their lives so far.",http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
,'BTS is everything for us': K-pop fans gather in Seoul for comeback show,"Some 260,000 fans are expected to watch BTS perform together on Saturday for the first time since 2022.",http://feeds.bbci.co.uk/news/world/rss.xml,1,Unknown,2026-03-22 20:55,0.0,0.0,
